split,support_tier,model,horizon,n_cases,n_lakes,MAE,RMSE,mean_bias,MASE,pct_lakes_beat_naive,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
development,All,EWMA alpha 0.30,5,3208,447,0.5408452127305688,0.7470365559952328,-0.15448391220880278,1.0132940247637754,73.37807606263982,3208,0.8453865336658354,1.903740851683372,3208,0.9610349127182045,3.325111026454896
development,All,EWMA alpha 0.30,10,3020,421,0.6244137123973372,0.8930387988613343,-0.19412909090122094,1.1559838428720048,74.58432304038006,3020,0.8403973509933775,2.1423556218932283,3020,0.9612582781456953,3.7479557695547427
development,All,Last 10 observed-year mean,1,3398,495,0.489773809795939,0.6674581612564102,0.03227958444330849,0.9109736368249391,63.43434343434343,3398,0.8281341965862272,1.6685485894977876,3398,0.9623307828134197,2.9849951999479805
development,All,Last 10 observed-year mean,3,3293,459,0.5305796859416761,0.7184140125762449,-0.04753343390308689,0.9951315777892109,64.92374727668845,3293,0.8384451867597935,1.838363006017407,3293,0.962040692377771,3.2219984615268706
development,All,Last 10 observed-year mean,5,3208,447,0.5515291093709216,0.758869764686232,-0.11526465613280228,1.0326136145345193,67.56152125279642,3208,0.8500623441396509,1.9489811479127508,3208,0.9685162094763092,3.4430278860997845
development,All,Last 10 observed-year mean,10,3020,421,0.6304789135335818,0.9033833809734818,-0.15844022449251827,1.169795236205323,66.270783847981,3020,0.8519867549668875,2.193305979010335,3020,0.9649006622516556,3.860697556608125
development,All,Last 5 observed-year mean,1,3398,495,0.4716935837292105,0.6496384585712504,0.012350430941095976,0.8793551342413695,65.45454545454545,3398,0.8363743378457916,1.6466095297524321,3398,0.9652736904061212,2.9300852980214547
development,All,Last 5 observed-year mean,3,3293,459,0.5217872361886583,0.7104081721338993,-0.06818223897714595,0.9833691457239349,67.97385620915033,3293,0.8369268144549044,1.819344048192362,3293,0.9629517157607045,3.188557029137305
development,All,Last 5 observed-year mean,5,3208,447,0.5483860539315839,0.7592234657535731,-0.13578766286890567,1.028785871245977,68.45637583892618,3208,0.8354114713216958,1.8979265617072036,3208,0.9619700748129676,3.4025050362316853
development,All,Last 5 observed-year mean,10,3020,421,0.6232139956059026,0.8873483663521469,-0.17605564652387068,1.1570092406031782,73.39667458432304,3020,0.8543046357615894,2.213146886781127,3020,0.964569536423841,3.85878335166429
development,All,Local-level state-space,1,3398,495,0.47593413016249975,0.6617993899440519,-0.006505724903540465,0.8834129502542841,68.48484848484848,3398,0.8378457916421425,1.646539285647063,3398,0.9579164214243673,2.805759028568811
development,All,Local-level state-space,3,3293,459,0.5283546823455332,0.7278272325157534,-0.08626418648242995,0.9886168901772548,72.76688453159042,3293,0.8442150015183723,1.851307269251808,3293,0.9614333434558153,3.2411233763535963
development,All,Local-level state-space,5,3208,447,0.5594438403174401,0.7720664008450225,-0.15719368541637926,1.048785510903921,75.16778523489933,3208,0.8416458852867831,1.9688315920441553,3208,0.9666458852867831,3.509818464530806
